Timestamp(UTC UNIX),Timestamp (AEST Local), X,Y, Gaze on Left, Gaze on Middle, Gaze on Right
'1712498160542,'2024-04-07 23:56:00.542,761,341.5,0,1,0
'1712498162365,'2024-04-07 23:56:02.365,761,341.5,0,1,0
'1712498162476,'2024-04-07 23:56:02.476,761,341.5,0,1,0
'1712498162485,'2024-04-07 23:56:02.485,761,341.5,0,1,0
'1712498162503,'2024-04-07 23:56:02.503,761,341.5,0,1,0
'1712498162511,'2024-04-07 23:56:02.511,761,341.5,0,1,0
'1712498162537,'2024-04-07 23:56:02.537,761,341.5,0,1,0
'1712498162555,'2024-04-07 23:56:02.555,761,341.5,0,1,0
'1712498162573,'2024-04-07 23:56:02.573,761,341.5,0,1,0
'1712498162650,'2024-04-07 23:56:02.650,761,341.5,0,1,0
'1712498162659,'2024-04-07 23:56:02.659,761,341.5,0,1,0
'1712498162676,'2024-04-07 23:56:02.676,761,341.5,0,1,0
'1712498162710,'2024-04-07 23:56:02.710,761,341.5,0,1,0
'1712498162728,'2024-04-07 23:56:02.728,761,341.5,0,1,0
'1712498162746,'2024-04-07 23:56:02.746,761,341.5,0,1,0
'1712498162754,'2024-04-07 23:56:02.754,761,341.5,0,1,0
'1712498162779,'2024-04-07 23:56:02.779,761,341.5,0,1,0
'1712498162787,'2024-04-07 23:56:02.787,761,341.5,0,1,0
'1712498162813,'2024-04-07 23:56:02.813,761,341.5,0,1,0
'1712498162822,'2024-04-07 23:56:02.822,761,341.5,0,1,0
'1712498162847,'2024-04-07 23:56:02.847,761,341.5,0,1,0
'1712498162865,'2024-04-07 23:56:02.865,761,341.5,0,1,0
'1712498162883,'2024-04-07 23:56:02.883,761,341.5,0,1,0
'1712498162899,'2024-04-07 23:56:02.899,761,341.5,0,1,0
'1712498162917,'2024-04-07 23:56:02.917,761,341.5,0,1,0
'1712498162934,'2024-04-07 23:56:02.934,761,341.5,0,1,0
'1712498162951,'2024-04-07 23:56:02.951,761,341.5,0,1,0
'1712498162968,'2024-04-07 23:56:02.968,761,341.5,0,1,0
'1712498162993,'2024-04-07 23:56:02.993,761,341.5,0,1,0
'1712498163002,'2024-04-07 23:56:03.002,761,341.5,0,1,0
'1712498163019,'2024-04-07 23:56:03.019,761,341.5,0,1,0
'1712498163036,'2024-04-07 23:56:03.036,761,341.5,0,1,0
'1712498163062,'2024-04-07 23:56:03.062,761,341.5,0,1,0
'1712498163081,'2024-04-07 23:56:03.081,761,341.5,0,1,0
