Timestamp(UTC UNIX),Timestamp (AEST Local), X,Y, Gaze on Left, Gaze on Middle, Gaze on Right
'1713069486165,'2024-04-14 14:38:06.165,760,333.5,0,1,0
'1713069487471,'2024-04-14 14:38:07.471,760,333.5,0,1,0
'1713069487539,'2024-04-14 14:38:07.539,760,333.5,0,1,0
'1713069487565,'2024-04-14 14:38:07.565,760,333.5,0,1,0
'1713069487574,'2024-04-14 14:38:07.574,760,333.5,0,1,0
'1713069487591,'2024-04-14 14:38:07.591,760,333.5,0,1,0
'1713069487607,'2024-04-14 14:38:07.607,760,333.5,0,1,0
'1713069487633,'2024-04-14 14:38:07.633,760,333.5,0,1,0
'1713069487683,'2024-04-14 14:38:07.683,760,333.5,0,1,0
'1713069487701,'2024-04-14 14:38:07.701,760,333.5,0,1,0
'1713069487710,'2024-04-14 14:38:07.710,760,333.5,0,1,0
'1713069487744,'2024-04-14 14:38:07.744,760,333.5,0,1,0
'1713069487761,'2024-04-14 14:38:07.761,760,333.5,0,1,0
'1713069487778,'2024-04-14 14:38:07.778,760,333.5,0,1,0
'1713069487786,'2024-04-14 14:38:07.786,760,333.5,0,1,0
'1713069487812,'2024-04-14 14:38:07.812,760,333.5,0,1,0
'1713069487829,'2024-04-14 14:38:07.829,760,333.5,0,1,0
'1713069487846,'2024-04-14 14:38:07.846,760,333.5,0,1,0
'1713069487854,'2024-04-14 14:38:07.854,760,333.5,0,1,0
'1713069487879,'2024-04-14 14:38:07.879,760,333.5,0,1,0
'1713069487905,'2024-04-14 14:38:07.905,760,333.5,0,1,0
'1713069487964,'2024-04-14 14:38:07.964,760,333.5,0,1,0
'1713069487972,'2024-04-14 14:38:07.972,760,333.5,0,1,0
'1713069487989,'2024-04-14 14:38:07.989,760,333.5,0,1,0
'1713069488006,'2024-04-14 14:38:08.006,760,333.5,0,1,0
'1713069488024,'2024-04-14 14:38:08.024,760,333.5,0,1,0
'1713069488033,'2024-04-14 14:38:08.033,760,333.5,0,1,0
'1713069488059,'2024-04-14 14:38:08.059,760,333.5,0,1,0
'1713069488067,'2024-04-14 14:38:08.067,760,333.5,0,1,0
'1713069488085,'2024-04-14 14:38:08.085,760,333.5,0,1,0
'1713069488103,'2024-04-14 14:38:08.103,760,333.5,0,1,0
'1713069488112,'2024-04-14 14:38:08.112,760,333.5,0,1,0
'1713069488128,'2024-04-14 14:38:08.128,760,333.5,0,1,0
'1713069488147,'2024-04-14 14:38:08.147,760,333.5,0,1,0
'1713069488156,'2024-04-14 14:38:08.156,760,333.5,0,1,0
'1713069488164,'2024-04-14 14:38:08.164,760,333.5,0,1,0
'1713069488190,'2024-04-14 14:38:08.190,760,333.5,0,1,0
'1713069488207,'2024-04-14 14:38:08.207,760,333.5,0,1,0
'1713069488225,'2024-04-14 14:38:08.225,760,333.5,0,1,0
'1713069488233,'2024-04-14 14:38:08.233,760,333.5,0,1,0
'1713069488252,'2024-04-14 14:38:08.252,760,333.5,0,1,0
'1713069488268,'2024-04-14 14:38:08.268,760,333.5,0,1,0
'1713069488285,'2024-04-14 14:38:08.285,760,333.5,0,1,0
'1713069488304,'2024-04-14 14:38:08.304,760,333.5,0,1,0
'1713069488320,'2024-04-14 14:38:08.320,760,333.5,0,1,0
'1713069488345,'2024-04-14 14:38:08.345,760,333.5,0,1,0
'1713069488371,'2024-04-14 14:38:08.371,760,333.5,0,1,0
'1713069488397,'2024-04-14 14:38:08.397,760,333.5,0,1,0
'1713069488413,'2024-04-14 14:38:08.413,760,333.5,0,1,0
'1713069488438,'2024-04-14 14:38:08.438,760,333.5,0,1,0
'1713069488447,'2024-04-14 14:38:08.447,760,333.5,0,1,0
'1713069488464,'2024-04-14 14:38:08.464,760,333.5,0,1,0
'1713069488481,'2024-04-14 14:38:08.481,760,333.5,0,1,0
'1713069488506,'2024-04-14 14:38:08.506,760,333.5,0,1,0
'1713069488531,'2024-04-14 14:38:08.531,760,333.5,0,1,0
'1713069488548,'2024-04-14 14:38:08.548,760,333.5,0,1,0
'1713069488566,'2024-04-14 14:38:08.566,760,333.5,0,1,0
'1713069488594,'2024-04-14 14:38:08.594,760,333.5,0,1,0
'1713069488612,'2024-04-14 14:38:08.612,760,333.5,0,1,0
'1713069488628,'2024-04-14 14:38:08.628,760,333.5,0,1,0
'1713069488646,'2024-04-14 14:38:08.646,760,333.5,0,1,0
'1713069488663,'2024-04-14 14:38:08.663,760,333.5,0,1,0
'1713069488688,'2024-04-14 14:38:08.688,760,333.5,0,1,0
'1713069488705,'2024-04-14 14:38:08.705,760,333.5,0,1,0
'1713069488723,'2024-04-14 14:38:08.723,760,333.5,0,1,0
'1713069488741,'2024-04-14 14:38:08.741,760,333.5,0,1,0
'1713069488757,'2024-04-14 14:38:08.757,760,333.5,0,1,0
'1713069488774,'2024-04-14 14:38:08.774,760,333.5,0,1,0
'1713069488790,'2024-04-14 14:38:08.790,760,333.5,0,1,0
'1713069488815,'2024-04-14 14:38:08.815,760,333.5,0,1,0
'1713069488824,'2024-04-14 14:38:08.824,760,333.5,0,1,0
'1713069488859,'2024-04-14 14:38:08.859,760,333.5,0,1,0
'1713069488875,'2024-04-14 14:38:08.875,760,333.5,0,1,0
'1713069488892,'2024-04-14 14:38:08.892,760,333.5,0,1,0
'1713069488909,'2024-04-14 14:38:08.909,760,333.5,0,1,0
'1713069488927,'2024-04-14 14:38:08.927,760,333.5,0,1,0
'1713069488953,'2024-04-14 14:38:08.953,760,333.5,0,1,0
'1713069488970,'2024-04-14 14:38:08.970,760,333.5,0,1,0
'1713069488978,'2024-04-14 14:38:08.978,760,333.5,0,1,0
'1713069489012,'2024-04-14 14:38:09.012,760,333.5,0,1,0
'1713069489021,'2024-04-14 14:38:09.021,760,333.5,0,1,0
'1713069489055,'2024-04-14 14:38:09.055,760,333.5,0,1,0
'1713069489073,'2024-04-14 14:38:09.073,760,333.5,0,1,0
'1713069489090,'2024-04-14 14:38:09.090,760,333.5,0,1,0
'1713069489106,'2024-04-14 14:38:09.106,760,333.5,0,1,0
'1713069489123,'2024-04-14 14:38:09.123,760,333.5,0,1,0
'1713069489140,'2024-04-14 14:38:09.140,760,333.5,0,1,0
'1713069489158,'2024-04-14 14:38:09.158,760,333.5,0,1,0
'1713069489184,'2024-04-14 14:38:09.184,760,333.5,0,1,0
'1713069489202,'2024-04-14 14:38:09.202,760,333.5,0,1,0
'1713069489220,'2024-04-14 14:38:09.220,760,333.5,0,1,0
'1713069489238,'2024-04-14 14:38:09.238,760,333.5,0,1,0
'1713069489256,'2024-04-14 14:38:09.256,760,333.5,0,1,0
'1713069489273,'2024-04-14 14:38:09.273,760,333.5,0,1,0
'1713069489291,'2024-04-14 14:38:09.291,760,333.5,0,1,0
'1713069489308,'2024-04-14 14:38:09.308,760,333.5,0,1,0
'1713069489325,'2024-04-14 14:38:09.325,760,333.5,0,1,0
'1713069489342,'2024-04-14 14:38:09.342,760,333.5,0,1,0
'1713069489359,'2024-04-14 14:38:09.359,760,333.5,0,1,0
'1713069489376,'2024-04-14 14:38:09.376,760,333.5,0,1,0
'1713069489392,'2024-04-14 14:38:09.392,760,333.5,0,1,0
'1713069489409,'2024-04-14 14:38:09.409,760,333.5,0,1,0
'1713069489426,'2024-04-14 14:38:09.426,760,333.5,0,1,0
'1713069489443,'2024-04-14 14:38:09.443,760,333.5,0,1,0
'1713069489460,'2024-04-14 14:38:09.460,760,333.5,0,1,0
'1713069489477,'2024-04-14 14:38:09.477,760,333.5,0,1,0
'1713069489495,'2024-04-14 14:38:09.495,760,333.5,0,1,0
'1713069489512,'2024-04-14 14:38:09.512,760,333.5,0,1,0
'1713069489530,'2024-04-14 14:38:09.530,760,333.5,0,1,0
'1713069489546,'2024-04-14 14:38:09.546,760,333.5,0,1,0
'1713069489563,'2024-04-14 14:38:09.563,760,333.5,0,1,0
'1713069489674,'2024-04-14 14:38:09.674,760,333.5,0,1,0
'1713069489690,'2024-04-14 14:38:09.690,760,333.5,0,1,0
'1713069489699,'2024-04-14 14:38:09.699,760,333.5,0,1,0
'1713069489715,'2024-04-14 14:38:09.715,760,333.5,0,1,0
'1713069489740,'2024-04-14 14:38:09.740,760,333.5,0,1,0
'1713069489775,'2024-04-14 14:38:09.775,760,333.5,0,1,0
'1713069489791,'2024-04-14 14:38:09.791,760,333.5,0,1,0
'1713069489808,'2024-04-14 14:38:09.808,760,333.5,0,1,0
'1713069489825,'2024-04-14 14:38:09.825,760,333.5,0,1,0
'1713069489841,'2024-04-14 14:38:09.841,760,333.5,0,1,0
'1713069489859,'2024-04-14 14:38:09.859,760,333.5,0,1,0
'1713069489885,'2024-04-14 14:38:09.885,760,333.5,0,1,0
'1713069489902,'2024-04-14 14:38:09.902,760,333.5,0,1,0
'1713069489919,'2024-04-14 14:38:09.919,760,333.5,0,1,0
'1713069489927,'2024-04-14 14:38:09.927,760,333.5,0,1,0
'1713069489935,'2024-04-14 14:38:09.935,760,333.5,0,1,0
'1713069489952,'2024-04-14 14:38:09.952,760,333.5,0,1,0
'1713069489969,'2024-04-14 14:38:09.969,760,333.5,0,1,0
'1713069489986,'2024-04-14 14:38:09.986,760,333.5,0,1,0
'1713069489995,'2024-04-14 14:38:09.995,760,333.5,0,1,0
'1713069490012,'2024-04-14 14:38:10.012,760,333.5,0,1,0
'1713069490020,'2024-04-14 14:38:10.020,760,333.5,0,1,0
'1713069490037,'2024-04-14 14:38:10.037,760,333.5,0,1,0
'1713069490055,'2024-04-14 14:38:10.055,760,333.5,0,1,0
'1713069490071,'2024-04-14 14:38:10.071,760,333.5,0,1,0
'1713069490089,'2024-04-14 14:38:10.089,760,333.5,0,1,0
'1713069490097,'2024-04-14 14:38:10.097,760,333.5,0,1,0
'1713069490105,'2024-04-14 14:38:10.105,760,333.5,0,1,0
'1713069490122,'2024-04-14 14:38:10.122,760,333.5,0,1,0
'1713069490139,'2024-04-14 14:38:10.139,760,333.5,0,1,0
'1713069490157,'2024-04-14 14:38:10.157,760,333.5,0,1,0
'1713069490165,'2024-04-14 14:38:10.165,760,333.5,0,1,0
'1713069490182,'2024-04-14 14:38:10.182,760,333.5,0,1,0
'1713069490199,'2024-04-14 14:38:10.199,760,333.5,0,1,0
'1713069490215,'2024-04-14 14:38:10.215,760,333.5,0,1,0
'1713069490249,'2024-04-14 14:38:10.249,760,333.5,0,1,0
'1713069490274,'2024-04-14 14:38:10.274,760,333.5,0,1,0
'1713069490291,'2024-04-14 14:38:10.291,760,333.5,0,1,0
'1713069490316,'2024-04-14 14:38:10.316,760,333.5,0,1,0
'1713069490332,'2024-04-14 14:38:10.332,760,333.5,0,1,0
'1713069490376,'2024-04-14 14:38:10.376,760,333.5,0,1,0
'1713069490402,'2024-04-14 14:38:10.402,760,333.5,0,1,0
'1713069490420,'2024-04-14 14:38:10.420,760,333.5,0,1,0
'1713069490437,'2024-04-14 14:38:10.437,760,333.5,0,1,0
'1713069490462,'2024-04-14 14:38:10.462,760,333.5,0,1,0
'1713069490496,'2024-04-14 14:38:10.496,760,333.5,0,1,0
'1713069490504,'2024-04-14 14:38:10.504,760,333.5,0,1,0
'1713069490529,'2024-04-14 14:38:10.529,760,333.5,0,1,0
'1713069490563,'2024-04-14 14:38:10.563,760,333.5,0,1,0
'1713069490571,'2024-04-14 14:38:10.571,760,333.5,0,1,0
'1713069490598,'2024-04-14 14:38:10.598,760,333.5,0,1,0
'1713069490615,'2024-04-14 14:38:10.615,760,333.5,0,1,0
'1713069490624,'2024-04-14 14:38:10.624,760,333.5,0,1,0
'1713069490641,'2024-04-14 14:38:10.641,760,333.5,0,1,0
'1713069490659,'2024-04-14 14:38:10.659,760,333.5,0,1,0
'1713069490683,'2024-04-14 14:38:10.683,760,333.5,0,1,0
'1713069490692,'2024-04-14 14:38:10.692,760,333.5,0,1,0
'1713069490709,'2024-04-14 14:38:10.709,760,333.5,0,1,0
'1713069490726,'2024-04-14 14:38:10.726,760,333.5,0,1,0
'1713069490751,'2024-04-14 14:38:10.751,760,333.5,0,1,0
'1713069490768,'2024-04-14 14:38:10.768,760,333.5,0,1,0
'1713069490785,'2024-04-14 14:38:10.785,760,333.5,0,1,0
'1713069490802,'2024-04-14 14:38:10.802,760,333.5,0,1,0
