Timestamp UNIX,Timestamp Local, X,Y, Left Pupil Diameter, Right Pupil Diameter, Left Eye Openness, Right Eye Openness, Gaze on Left, Gaze on Middle, Gaze on Right
'1731039849795,'2024-11-08 15:24:09.795,0,200,-1,-1,-1,-1,0,0,0
'1731039850847,'2024-11-08 15:24:10.847,0,200,-1,-1,-1,-1,0,0,0
'1731039850872,'2024-11-08 15:24:10.872,0,200,-1,-1,-1,-1,0,0,0
'1731039850882,'2024-11-08 15:24:10.882,0,200,-1,-1,-1,-1,0,0,0
'1731039850899,'2024-11-08 15:24:10.899,0,200,-1,-1,-1,-1,0,0,0
'1731039850908,'2024-11-08 15:24:10.908,0,200,-1,-1,-1,-1,0,0,0
'1731039850933,'2024-11-08 15:24:10.933,0,200,-1,-1,-1,-1,0,0,0
'1731039850950,'2024-11-08 15:24:10.950,0,200,-1,-1,-1,-1,0,0,0
'1731039850958,'2024-11-08 15:24:10.958,0,200,-1,-1,-1,-1,0,0,0
'1731039850967,'2024-11-08 15:24:10.967,0,200,-1,-1,-1,-1,0,0,0
'1731039850983,'2024-11-08 15:24:10.983,0,200,-1,-1,-1,-1,0,0,0
'1731039850991,'2024-11-08 15:24:10.991,0,200,-1,-1,-1,-1,0,0,0
'1731039851009,'2024-11-08 15:24:11.009,0,200,-1,-1,-1,-1,0,0,0
'1731039851017,'2024-11-08 15:24:11.017,0,200,-1,-1,-1,-1,0,0,0
'1731039851036,'2024-11-08 15:24:11.036,0,200,-1,-1,-1,-1,0,0,0
'1731039851052,'2024-11-08 15:24:11.052,0,200,-1,-1,-1,-1,0,0,0
'1731039851069,'2024-11-08 15:24:11.069,0,200,-1,-1,-1,-1,0,0,0
'1731039851085,'2024-11-08 15:24:11.085,0,200,-1,-1,-1,-1,0,0,0
'1731039851095,'2024-11-08 15:24:11.095,0,200,-1,-1,-1,-1,0,0,0
'1731039851103,'2024-11-08 15:24:11.103,0,200,-1,-1,-1,-1,0,0,0
'1731039851119,'2024-11-08 15:24:11.119,0,200,-1,-1,-1,-1,0,0,0
'1731039851127,'2024-11-08 15:24:11.127,0,200,-1,-1,-1,-1,0,0,0
'1731039851145,'2024-11-08 15:24:11.145,0,200,-1,-1,-1,-1,0,0,0
'1731039851155,'2024-11-08 15:24:11.155,0,200,-1,-1,-1,-1,0,0,0
'1731039851163,'2024-11-08 15:24:11.163,0,200,-1,-1,-1,-1,0,0,0
'1731039851172,'2024-11-08 15:24:11.172,0,200,-1,-1,-1,-1,0,0,0
'1731039851189,'2024-11-08 15:24:11.189,0,200,-1,-1,-1,-1,0,0,0
'1731039851206,'2024-11-08 15:24:11.206,0,200,-1,-1,-1,-1,0,0,0
'1731039851214,'2024-11-08 15:24:11.214,0,200,-1,-1,-1,-1,0,0,0
'1731039851224,'2024-11-08 15:24:11.224,0,200,-1,-1,-1,-1,0,0,0
'1731039851233,'2024-11-08 15:24:11.233,0,200,-1,-1,-1,-1,0,0,0
'1731039851242,'2024-11-08 15:24:11.242,0,200,-1,-1,-1,-1,0,0,0
'1731039851250,'2024-11-08 15:24:11.250,0,200,-1,-1,-1,-1,0,0,0
'1731039851258,'2024-11-08 15:24:11.258,0,200,-1,-1,-1,-1,0,0,0
'1731039851275,'2024-11-08 15:24:11.275,0,200,-1,-1,-1,-1,0,0,0
'1731039851284,'2024-11-08 15:24:11.284,0,200,-1,-1,-1,-1,0,0,0
'1731039851301,'2024-11-08 15:24:11.301,0,200,-1,-1,-1,-1,0,0,0
'1731039851310,'2024-11-08 15:24:11.310,0,200,-1,-1,-1,-1,0,0,0
'1731039851318,'2024-11-08 15:24:11.318,0,200,-1,-1,-1,-1,0,0,0
'1731039851327,'2024-11-08 15:24:11.327,0,200,-1,-1,-1,-1,0,0,0
'1731039851344,'2024-11-08 15:24:11.344,0,200,-1,-1,-1,-1,0,0,0
'1731039851353,'2024-11-08 15:24:11.353,0,200,-1,-1,-1,-1,0,0,0
'1731039851362,'2024-11-08 15:24:11.362,0,200,-1,-1,-1,-1,0,0,0
